genre,genre_achievements_mean
Accounting,NA
"Accounting,Animation & Modeling,Audio Production,Design & Illustration,Education,Photo Editing,Software Training,Utilities,Video Production,Web Publishing",NA
"Accounting,Animation & Modeling,Audio Production,Design & Illustration,Education,Photo Editing,Software Training,Utilities,Video Production,Web Publishing,Game Development",NA
"Accounting,Education,Software Training,Utilities,Early Access",NA
Action,47.910377358490564
"Action,Adventure",40.33522727272727
"Action,Adventure,Casual",42
"Action,Adventure,Casual,Early Access",22
"Action,Adventure,Casual,Free to Play",NA
"Action,Adventure,Casual,Free to Play,Early Access",NA
"Action,Adventure,Casual,Free to Play,Indie",27.5
"Action,Adventure,Casual,Free to Play,Indie,Early Access",8
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Early Access",2
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Racing,RPG,Simulation,Sports,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Racing,Simulation,Sports,Early Access",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG",54
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Sports,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy,Early Access",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Strategy,Movie",32
"Action,Adventure,Casual,Free to Play,Indie,Racing,RPG,Simulation,Sports",NA
"Action,Adventure,Casual,Free to Play,Indie,Racing,RPG,Simulation,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,RPG",11
"Action,Adventure,Casual,Free to Play,Indie,RPG,Early Access",NA
"Action,Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy",60
"Action,Adventure,Casual,Free to Play,Indie,RPG,Strategy",19
"Action,Adventure,Casual,Free to Play,Indie,RPG,Strategy,Early Access",NA
"Action,Adventure,Casual,Free to Play,Indie,Simulation,Early Access",100
"Action,Adventure,Casual,Free to Play,Indie,Simulation,Sports,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,Simulation,Strategy",NA
"Action,Adventure,Casual,Free to Play,Indie,Strategy",NA
"Action,Adventure,Casual,Free to Play,Massively Multiplayer",NA
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Racing,RPG",117
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Racing,RPG,Simulation",NA
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG",19
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation",NA
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Simulation,Strategy",NA
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Sports,Strategy",71
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports",46
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Simulation,Sports,Strategy",NA
"Action,Adventure,Casual,Free to Play,Massively Multiplayer,Sports,Early Access",NA
"Action,Adventure,Casual,Free to Play,Racing",15
"Action,Adventure,Casual,Free to Play,Racing,Simulation,Sports",18
"Action,Adventure,Casual,Free to Play,RPG",NA
"Action,Adventure,Casual,Free to Play,RPG,Strategy",62
"Action,Adventure,Casual,Indie",114.86635944700461
"Action,Adventure,Casual,Indie,Early Access",17.647058823529413
"Action,Adventure,Casual,Indie,Early Access,Racing,Strategy,Simulation",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer",12
"Action,Adventure,Casual,Indie,Massively Multiplayer,Early Access",354
"Action,Adventure,Casual,Indie,Massively Multiplayer,Racing,RPG,Simulation",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,Racing,RPG,Simulation,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,Racing,RPG,Simulation,Sports,Strategy",38
"Action,Adventure,Casual,Indie,Massively Multiplayer,Racing,Simulation,Sports,Early Access",33
"Action,Adventure,Casual,Indie,Massively Multiplayer,Racing,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG",23
"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Early Access",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation,Early Access",32
"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Simulation,Strategy",15
"Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Strategy,Early Access",10
"Action,Adventure,Casual,Indie,Massively Multiplayer,Simulation",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,Simulation,Early Access",1
"Action,Adventure,Casual,Indie,Massively Multiplayer,Simulation,Strategy",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,Simulation,Strategy,Sports,Racing",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,Sports,Strategy",NA
"Action,Adventure,Casual,Indie,Massively Multiplayer,Strategy",11
"Action,Adventure,Casual,Indie,Racing",40
"Action,Adventure,Casual,Indie,Racing,Early Access",12
"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Early Access",47
"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Sports",NA
"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Sports,Strategy",8
"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Sports,Strategy,Early Access",NA
"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Strategy,Early Access",NA
"Action,Adventure,Casual,Indie,Racing,RPG,Simulation,Utilities,Early Access",NA
"Action,Adventure,Casual,Indie,Racing,Simulation",30.125
"Action,Adventure,Casual,Indie,Racing,Simulation,Sports",10
"Action,Adventure,Casual,Indie,Racing,Simulation,Sports,Early Access",4
"Action,Adventure,Casual,Indie,Racing,Simulation,Sports,Strategy",NA
"Action,Adventure,Casual,Indie,Racing,Simulation,Sports,Strategy,RPG,Early Access",NA
"Action,Adventure,Casual,Indie,Racing,Sports",21
"Action,Adventure,Casual,Indie,Racing,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Racing,Sports,Strategy",32
"Action,Adventure,Casual,Indie,Racing,Strategy",NA
"Action,Adventure,Casual,Indie,RPG",278.45238095238096
"Action,Adventure,Casual,Indie,RPG,Early Access",21.3
"Action,Adventure,Casual,Indie,RPG,Racing,Simulation,Massively Multiplayer",NA
"Action,Adventure,Casual,Indie,RPG,Simulation",25.9
"Action,Adventure,Casual,Indie,RPG,Simulation,Early Access",17.5
"Action,Adventure,Casual,Indie,RPG,Simulation,Sports,Strategy",37
"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy",44.666666666666664
"Action,Adventure,Casual,Indie,RPG,Simulation,Strategy,Early Access",59
"Action,Adventure,Casual,Indie,RPG,Sports",NA
"Action,Adventure,Casual,Indie,RPG,Strategy",581
"Action,Adventure,Casual,Indie,RPG,Strategy,Early Access",10
"Action,Adventure,Casual,Indie,Simulation",49.23076923076923
"Action,Adventure,Casual,Indie,Simulation,Early Access",23.25
"Action,Adventure,Casual,Indie,Simulation,Racing",NA
"Action,Adventure,Casual,Indie,Simulation,Sports",7.333333333333333
"Action,Adventure,Casual,Indie,Simulation,Sports,Early Access",NA
"Action,Adventure,Casual,Indie,Simulation,Sports,Racing",NA
"Action,Adventure,Casual,Indie,Simulation,Sports,Strategy",12
